Marca,RazonSocial,NIT,Categoria_BAV,Macrosector_Fin,En_BAV,Monobrand,BavScore_x10,Patron_BAV,Tensity_Diferenciacion,TotalSearch_Relevancia,Brandconomics_Estima,GrowthStrategy_CX,LoyaltyStrategy_Conocimiento,Ingresos2024_COP_T,Ingresos2023_COP_T,TotalActivos2024_COP_T,Ganancia2024_COP_T,TotalPasivos2024_COP_T,Patrimonio2024_COP_T,Fuente,Nota_Cruce,_ratio,Commerce_Ratio,Commerce_KPI,BavPulse_Raw,BavPulse_KPI,eDif_Raw,eRel_Raw,eEst_Raw,eFam_Raw,eDif_KPI,eRel_KPI,eEst_KPI,eFam_KPI,GT_Raw,GT_KPI,Wiki_Raw,Wiki_KPI,Social_Raw,Social_KPI,eDif_Digital_Raw,eDif_Digital_KPI,eRel_Digital_Raw,eRel_Digital_KPI,eEst_Digital_Raw,eEst_Digital_KPI,eFam_Digital_Raw,eFam_Digital_KPI,BAV_Pulse_Digital_KPI,BrandAsset_Raw,BrandAsset_KPI,Paris_Raw,Prefer_gap_CX,Prefer_U_pct,UseReg_U_pct,WNC_nU_pct,Stature_U,Stature_nU,CX_KPI,NPS_Raw,Loyalty_KPI,BX_Score,CO_Score,CX_Score
United Airlines,UNITED AIRLINES INC,900496730,Aerolíneas,SERVICIOS,SI,True,40.7,Débil,41.1,36.9,58.1,41.9,25.6,0.3226599693,,0.0239289906,0.2694587111,0.0239272509,1.74e-06,Supersociedades – master_top1000_estados_financieros 2024,,13.484061015929358,13.4841,100.0,39.9,62.2,41.1,36.9,58.1,25.6,34.2,16.5,44.3,2.5,35.7,42.7,60.0,82.7,24.0,53.1,77.6,43.2,31.0,48.1,63.8,40.7,86.0,82.7,53.7,38.75,23.1,-0.015,0.43,11.2,6.0,11.7,1.549,1.534,43.8,26.47,5.1,38.4,100.0,24.4
Wingo,AERO REPUBLICA S A,800185781,Aerolíneas,SERVICIOS,SI,True,41.3,Débil,57.9,39.5,25.7,36.4,47.0,0.8282294273,1.6416139603,0.6480510235,0.0501586013,0.5556601286,0.0923909023,Supersociedades – master_top1000_estados_financieros 2024,Wingo Colombia opera bajo entidad jurídica Aero República SA,1.2780312001158347,1.278,59.3,15.2,32.9,57.9,39.5,25.7,47.0,46.8,21.5,10.1,16.5,32.5,41.5,0.0,29.6,13.2,29.6,79.0,50.6,24.8,44.4,38.0,4.9,57.5,19.8,29.9,40.77,24.4,-0.0397,1.07,15.2,13.4,14.5,1.396,1.357,77.5,46.68,29.1,27.1,59.3,53.3
Satena,AEROVIAS DE INTEGRACION REGIONAL S.A.,890704196,Aerolíneas,SERVICIOS,SI,True,38.5,Débil,19.7,53.6,36.1,39.7,43.3,2.3283445835,4.4941864014,1.3858492374,-0.2702955604,1.3465473652,0.0393019319,Supersociedades – master_top1000_estados_financieros 2024,Satena = Aerovías de Integración Regional SA,1.6800850486942007,1.6801,74.1,9.1,24.4,19.7,53.6,36.1,43.3,13.9,36.7,19.0,11.4,13.9,32.9,0.2,34.6,13.2,29.6,80.4,63.0,13.6,32.1,36.8,2.5,56.0,14.8,28.1,35.84,17.9,-0.0225,0.84,9.8,7.5,13.8,1.479,1.456,58.8,41.36,22.8,23.0,74.1,40.8
JetSmart,REGIONAL EXPRESS AMERICAS S.A.S,901187193,Aerolíneas,SERVICIOS,SI,True,32.8,Débil,63.5,33.2,12.9,22.5,32.1,0.3788931966,0.4693977237,0.2316958457,0.0145495096,0.2976044118,-0.0659085512,Supersociedades – master_top1000_estados_financieros 2024,JetSmart Colombia opera como Regional Express Americas SAS,1.6353042302303131,1.6353,71.6,23.4,40.2,63.5,33.2,12.9,32.1,51.9,13.9,3.8,6.3,65.9,59.8,0.2,34.6,4.0,2.5,75.5,37.0,41.1,53.1,39.2,7.4,59.0,22.2,29.9,30.57,12.8,-0.0219,0.43,12.4,10.5,14.5,0.966,0.944,57.5,38.55,20.3,21.4,71.6,38.9
Arturo Calle,COMERCIALIZADORA ARTURO CALLE SAS,900342297,Retail Moda,COMERCIO,SI,True,85.0,Medio,86.5,72.8,92.2,88.6,85.0,0.6383805275,0.6182851195,0.3500554264,0.0227825996,0.157893151,0.1921622753,Supersociedades – master_top1000_estados_financieros 2024,,1.8236555681057711,1.8237,76.5,15.0,31.7,86.5,72.8,92.2,85.0,81.0,70.9,92.4,69.6,4.5,26.8,15.0,51.9,25.6,56.8,86.0,84.0,12.9,29.6,40.0,11.1,63.8,37.0,40.4,83.82,91.0,0.0073,0.23,25.6,34.9,9.0,3.947,3.954,8.8,61.34,72.2,65.7,76.5,40.5
Tennis (clothing),TENNIS S.A,890920043,Retail Moda,MANUFACTURA,SI,True,57.1,Fuerza sin entrega,74.7,58.0,39.4,51.0,62.5,0.3128433526,0.2807689905,0.4528031945,0.0111341802,0.276124835,0.1766783446,Supersociedades – master_top1000_estados_financieros 2024,,0.6909035899038914,0.6909,24.7,7.9,19.5,74.7,58.0,39.4,62.5,64.6,41.8,22.8,34.2,0.4,1.2,10.0,43.2,13.2,29.6,73.4,29.6,5.5,9.9,53.0,32.1,60.0,24.7,24.1,57.15,47.4,-0.0047,0.24,15.4,17.2,10.8,1.822,1.818,23.8,48.71,40.5,35.8,24.7,32.1
H&M,H&M HENNES & MAURITZ COLOMBIA SAS,900924527,Retail Moda,COMERCIO,SI,True,54.1,Fuerza sin entrega,82.5,67.4,18.2,40.2,62.1,0.8170516491,0.7057403326,0.6793109179,0.0304683391,0.2946041822,0.3847067356,Supersociedades – master_top1000_estados_financieros 2024,,1.2027653723361422,1.2028,50.6,75.0,96.3,82.5,67.4,18.2,62.1,74.7,53.2,6.3,32.9,100.0,86.0,85.0,96.3,40.0,86.4,84.6,77.8,76.0,91.4,50.0,29.6,93.8,96.3,73.8,50.07,35.9,-0.0343,0.4,21.2,23.3,11.5,1.441,1.406,73.8,52.7,49.4,54.8,50.6,61.6
Koaj,INTERNACIONAL DE DISTRIBUCIONES DE VESTUARIO DE MODA SAS,811017000,Retail Moda,MANUFACTURA,SI,True,64.2,Fuerza sin entrega,90.8,73.3,33.1,52.4,71.7,0.8731862903,0.9559486508,0.312104702,0.03809027,0.1326702535,0.1794344336,Supersociedades – master_top1000_estados_financieros 2024,Koaj = Internacional de Distribuciones de Vestuario de Moda SAS,2.797735134089713,2.7977,82.7,14.2,28.7,90.8,73.3,33.1,71.7,92.4,72.2,15.2,46.8,35.8,43.9,0.0,29.6,6.8,14.8,65.0,6.2,24.2,42.0,82.0,69.1,52.5,6.2,30.9,63.04,55.1,-0.0058,0.4,25.2,28.7,9.6,1.809,1.804,27.5,60.06,68.4,43.0,82.7,48.0
Chevignon,PERMODA LTDA,860516806,Retail Moda,MANUFACTURA,SI,False,56.7,Potencial no realizado,87.4,40.9,52.8,51.8,50.8,0.9791915417,0.9402025342,1.4092737436,-0.0097492803,0.9370803833,0.4721933007,Supersociedades – master_top1000_estados_financieros 2024,Chevignon = marca; Permoda Ltda es la empresa,0.6948199710289416,0.6948,25.9,9.4,25.6,87.4,40.9,52.8,50.8,86.1,24.1,41.8,20.3,15.0,35.4,0.0,29.6,13.2,29.6,72.0,23.5,14.3,34.6,66.8,44.4,56.0,14.8,29.3,55.65,44.9,-0.0086,0.21,19.1,24.7,17.9,1.936,1.927,31.2,53.01,50.6,37.1,25.9,40.9
Totto,NALSANI S.A.S,800020706,Retail Moda,MANUFACTURA,SI,False,,,,,,,,0.7516927719,0.7594006658,0.5772244334,0.0225639194,0.374792695,0.2024317533,Supersociedades – master_top1000_estados_financieros 2024,Totto = marca; Nalsani SAS es la empresa,1.3022539040357954,1.3023,61.7,7.8,18.3,,,,,,,,,3.5,18.9,0.0,29.6,20.0,49.4,82.5,69.1,10.1,24.7,70.8,50.6,61.0,29.6,43.5,,,-0.0251,0.39,34.7,50.4,3.9,4.857,4.832,63.7,42.72,25.3,43.5,61.7,44.5
