Marca,RazonSocial,NIT,Categoria_BAV,Macrosector_Fin,En_BAV,Monobrand,BavScore_x10,Patron_BAV,Tensity_Diferenciacion,TotalSearch_Relevancia,Brandconomics_Estima,GrowthStrategy_CX,LoyaltyStrategy_Conocimiento,Ingresos2024_COP_T,Ingresos2023_COP_T,TotalActivos2024_COP_T,Ganancia2024_COP_T,TotalPasivos2024_COP_T,Patrimonio2024_COP_T,Fuente,Nota_Cruce,_ratio,Commerce_Ratio,Commerce_KPI,BavPulse_Raw,BavPulse_KPI,eDif_Raw,eRel_Raw,eEst_Raw,eFam_Raw,eDif_KPI,eRel_KPI,eEst_KPI,eFam_KPI,GT_Raw,GT_KPI,Wiki_Raw,Wiki_KPI,Social_Raw,Social_KPI,eDif_Digital_Raw,eDif_Digital_KPI,eRel_Digital_Raw,eRel_Digital_KPI,eEst_Digital_Raw,eEst_Digital_KPI,eFam_Digital_Raw,eFam_Digital_KPI,BAV_Pulse_Digital_KPI,BrandAsset_Raw,BrandAsset_KPI,Paris_Raw,Prefer_gap_CX,Prefer_U_pct,UseReg_U_pct,WNC_nU_pct,Stature_U,Stature_nU,CX_KPI,NPS_Raw,Loyalty_KPI,BX_Score,CO_Score,CX_Score
El Corral,GRASAS S.A.,891300529,Restaurantes QSR,MANUFACTURA,SI,False,66.4,Medio,62.7,73.7,48.5,65.3,82.1,0.8639211655,0.8520500064,0.5265423059,0.0544592217,0.2268327177,0.2997095883,Supersociedades – master_top1000_estados_financieros 2024,El Corral = marca; Grasco/Grasas SA es la operadora,1.6407440690322697,1.6407,72.8,5.8,12.2,62.7,73.7,48.5,82.1,50.6,73.4,35.4,63.3,4.3,25.0,0.0,29.6,13.2,29.6,84.6,77.8,7.9,16.0,88.8,80.2,61.0,29.6,50.9,65.49,56.4,0.0238,0.18,25.8,22.7,4.8,2.273,2.296,1.2,61.32,70.9,53.6,72.8,36.1
Decameron,HOTELES DECAMERON COLMBIA S.A.S SIGLA HODECOL S.A.S.,806000179,Hoteles,SERVICIOS,SI,True,69.2,Medio,71.5,69.5,80.0,68.3,56.5,0.518717885,0.4810305536,3.2841639519,0.0038914401,2.5407652855,0.743398726,Supersociedades – master_top1000_estados_financieros 2024,,0.1579451856232403,0.1579,4.9,51.1,73.2,71.5,69.5,80.0,56.5,62.0,58.2,67.1,25.3,100.0,86.0,20.0,61.7,33.2,74.1,86.0,84.0,73.3,84.0,42.0,18.5,67.5,49.4,59.0,68.84,61.5,-0.038,0.71,22.4,10.0,12.5,2.731,2.693,76.2,59.23,67.1,60.2,4.9,71.7
Easy Fly,EMPRESA AEREA DE SERVICIOS Y FACILITACION LOGISTICA INTEGRAL SA,900088915,Aerolíneas,SERVICIOS,SI,True,27.9,Crítico,37.2,30.9,22.7,23.8,24.9,0.5287967324,1.0626276731,0.6517290473,0.00172947,0.579031527,0.0726975426,Supersociedades – master_top1000_estados_financieros 2024,Easy Fly cambió de nombre a CLIC en 2023; entidad jurídica EASYFLY SA permanece,0.8113751176055645,0.8114,30.9,20.6,37.8,37.2,30.9,22.7,24.9,27.8,7.6,8.9,1.3,55.0,52.4,0.0,29.6,6.8,14.8,73.4,29.6,2.7,3.7,83.2,70.4,54.0,8.6,28.1,28.39,9.0,-0.0159,0.62,7.1,7.0,15.0,1.023,1.007,46.2,28.76,6.3,18.6,30.9,26.2
Farmacia Pasteur,DISTRIBUIDORA PASTEUR S.A,890941663,Farmacias,COMERCIO,SI,True,28.9,Crítico,2.9,49.8,34.1,30.6,27.2,0.5601638556,0.4911066592,0.2046327442,0.0120682102,0.0618181415,0.1428146064,Supersociedades – master_top1000_estados_financieros 2024,Distribuidora Pasteur SA opera la red de Farmacias Pasteur,2.737410661181956,2.7374,81.5,25.6,42.7,2.9,49.8,34.1,27.2,1.3,30.4,16.5,3.8,70.0,61.0,0.0,29.6,6.8,14.8,65.0,6.2,44.7,56.8,82.0,69.1,52.5,6.2,34.6,19.13,2.6,-0.0174,0.72,7.1,10.0,16.9,1.206,1.189,50.0,25.15,3.8,18.6,81.5,26.9
Andina (beer),CENTRAL CERVECERA DE COLOMBIA SAS,900785905,Cervezas,COMERCIO,SI,False,33.3,Débil,43.2,14.4,10.9,36.4,61.8,0.8867977858,0.8169698715,0.7074736357,-0.0993503332,0.549755156,0.1577184945,Supersociedades – master_top1000_estados_financieros 2024,Cerveza Andina = marca de Central Cervecera de Colombia SAS (JV Heineken–Bavaria),1.2534711416102031,1.2535,56.8,3.4,4.3,43.2,14.4,10.9,61.8,38.0,1.3,1.3,30.4,3.4,17.1,0.0,29.6,6.8,14.8,68.5,16.0,2.7,3.7,80.8,64.2,51.0,2.5,21.6,25.44,6.4,-0.0197,0.43,13.8,15.5,24.8,1.267,1.248,55.0,38.34,19.0,14.0,56.8,37.0
Tiendas Isimo,SUPERTIENDAS Y DROGUERIAS OLIMPICA S.A,890107487,Supermercados,COMERCIO,SI,False,31.4,Débil,25.9,50.4,12.0,27.0,42.0,7.1291923523,7.8825526237,5.7303638458,0.0636537522,3.4788792133,2.2514848709,Supersociedades – master_top1000_estados_financieros 2024,Ísimo = cadena del Grupo Olímpica; opera bajo entidad Supertiendas y Droguerías Olímpica SA,1.2441081481283691,1.2441,51.9,3.4,4.3,25.9,50.4,12.0,42.0,20.3,31.6,2.5,10.1,3.5,18.9,0.0,29.6,6.8,14.8,59.4,1.2,4.8,4.9,58.0,35.8,45.0,1.2,10.8,28.48,10.3,-0.0017,0.4,10.1,16.6,16.9,1.062,1.061,18.8,24.83,2.5,10.6,51.9,10.7
Copa Airlines,AERO REPUBLICA S A,800185781,Aerolíneas,SERVICIOS,SI,False,56.3,Medio,70.0,41.6,66.7,56.6,46.6,0.8282294273,1.6416139603,0.6480510235,0.0501586013,0.5556601286,0.0923909023,Supersociedades – master_top1000_estados_financieros 2024,Copa Airlines Colombia operó bajo Aero República SA (misma entidad jurídica que Wingo),1.2780312001158347,1.278,59.3,25.0,41.5,70.0,41.6,66.7,46.6,55.7,26.6,53.2,13.9,54.9,51.2,0.0,29.6,20.0,49.4,82.5,69.1,40.9,51.9,46.0,22.2,67.5,49.4,48.1,54.85,43.6,-0.0034,0.41,16.9,12.2,10.8,2.147,2.143,21.2,50.17,41.8,45.9,59.3,31.5
Telefónica,COLOMBIA TELECOMUNICACIONES S.A. E.S.P. - telefonica,830122566,Telecomunicaciones,SERVICIOS,SI,False,38.9,Débil,28.7,31.3,42.7,44.8,46.9,6.6721792221,7.1184382439,14.4863471985,-0.4669573307,10.9635124207,3.5228347778,Supersociedades – master_top1000_estados_financieros 2024,Telefónica Colombia = marca corporativa; entidad jurídica es Colombia Telecomunicaciones SA (Movistar),0.4605839643820545,0.4606,8.6,6.3,13.4,28.7,31.3,42.7,46.9,22.8,10.1,26.6,15.2,12.2,29.3,0.0,29.6,6.8,14.8,77.6,43.2,10.0,23.5,47.2,23.5,69.0,54.3,36.1,36.62,20.5,-0.0108,0.02,6.5,15.3,28.8,1.65,1.639,33.8,19.21,1.3,28.3,8.6,17.5
Hatsu,POSTOBON S.A.,890903939,Bebidas,MANUFACTURA,SI,False,52.4,Fuerza sin entrega,86.8,65.8,22.1,36.5,50.9,2.8467004299,2.9373836517,3.3808317184,0.0440745801,1.8289060593,1.5519256592,Supersociedades – master_top1000_estados_financieros 2024,Hatsu = marca Postobón desde 2016 (adquirida via Gaseosas Lux de Triple Corona SAS),0.8420118677918754,0.842,32.1,3.5,6.1,86.8,65.8,22.1,50.9,82.3,50.6,7.6,21.5,3.8,22.6,0.0,29.6,6.8,14.8,77.6,43.2,5.0,6.2,84.0,74.1,55.0,12.3,34.0,50.35,37.2,-0.0109,0.22,22.5,20.3,12.8,1.379,1.368,35.0,47.19,30.4,35.6,32.1,32.7
Cerveza BBC,BAVARIA & CIA S.C.A,860005224,Cervezas,MANUFACTURA,SI,False,53.0,Fuerza sin entrega,87.2,39.8,43.0,46.0,49.1,8.6157741547,8.0129432678,13.6144351959,2.3062546253,9.470246315,4.1441893578,Supersociedades – master_top1000_estados_financieros 2024,BBC (Bogotá Beer Company) = parte de Bavaria/AB InBev desde 2015; opera bajo BAVARIA & CIA,0.632841100693964,0.6328,14.8,5.2,9.8,87.2,39.8,43.0,49.1,84.8,22.8,27.8,19.0,2.3,9.8,0.0,29.6,13.2,29.6,84.6,77.8,6.7,13.6,86.0,76.5,57.5,19.8,46.9,52.03,42.3,-0.0246,0.42,19.9,13.3,22.7,1.705,1.681,62.5,44.28,26.6,44.6,14.8,44.5
Esso,ORGANIZACIÓN TERPEL S.A.,830095213,Combustibles,COMERCIO,SI,False,42.2,Débil,8.0,39.0,63.5,54.7,45.9,24.7520122528,23.0482845306,7.9712119102,0.5307559371,4.6218252182,3.349386692,Supersociedades – master_top1000_estados_financieros 2024,Esso Colombia fue adquirida por Organización Terpel en 2010; Esso es sub-marca de Terpel,3.1051755406385833,3.1052,90.1,1.3,1.2,8.0,39.0,63.5,45.9,5.1,20.3,49.4,12.7,1.9,6.7,0.0,29.6,2.0,0.0,75.5,37.0,0.8,0.0,73.2,54.3,64.0,40.7,33.0,30.88,15.4,-0.0272,0.2,16.0,16.8,15.4,2.051,2.023,67.5,47.81,32.9,24.2,90.1,50.2
Honda,FABRICA NACIONAL DE AUTOPARTES FANALCA S.A,890301886,Automóviles,MANUFACTURA,SI,False,77.0,Medio,75.8,67.5,90.7,80.6,70.5,1.4264771938,1.2826853991,1.6085869074,0.0605385005,0.801738739,0.8068481088,Supersociedades – master_top1000_estados_financieros 2024,"Honda Motos Colombia opera a través de FANALCA SA, única planta ensambladora y distribuidora Honda en Colombia",0.8867890116709027,0.8868,39.5,30.9,51.2,75.8,67.5,90.7,70.5,67.1,54.4,88.6,43.0,72.7,62.2,0.0,29.6,20.0,49.4,89.5,92.6,51.6,60.5,98.0,98.8,72.5,66.7,79.6,75.63,69.2,0.0016,0.4,16.5,8.5,11.2,3.538,3.54,15.0,50.6,45.6,74.4,39.5,30.3
