Marca,RazonSocial,Categoria_BAV,Macrosector_Fin,Tensity_Diferenciacion,TotalSearch_Relevancia,Brandconomics_Estima,GrowthStrategy_CX,LoyaltyStrategy_Conocimiento,BavScore_x10,Patron_BAV,Ingresos2024_COP_Trillones,Ingresos2023_COP_Trillones,Crecimiento_Ingresos_Pct,Ganancia2024_COP_Trillones,Margen_Neto_Pct,ROE_Pct,Apalancamiento_Pas_Pat,TotalActivos2024_COP_Trillones,Patrimonio2024_COP_Trillones,Patrimonio2023_COP_Trillones,Nota_Comparabilidad,BVC_Ticker,BVC_Precio_COP,BVC_Variacion_Pct,BVC_Variacion_Abs,BVC_Apertura,BVC_Maximo,BVC_Minimo,BVC_Volumen,BVC_PrecioAyer_COP,IV_USD_Billions,IV_COP_Trillones,IV_Revenue_Multiple,Pct_Intangible
Decameron,HOTELES DECAMERON COLMBIA S.A.S SIGLA HODECOL S.A.S.,Hoteles,SERVICIOS,71.5,69.5,80.0,68.3,56.5,69.2,Medio,0.518717885,0.4810305536,7.8,0.0038914401,0.8,0.5,3.42,3.2841639519,0.743398726,0.5708953142,,,,,,,,,,,0.2064,0.8667,1.67,53.8
H&M,H&M HENNES & MAURITZ COLOMBIA SAS,Retail Moda,COMERCIO,82.5,67.4,18.2,40.2,62.1,54.1,Fuerza sin entrega,0.8170516491,0.7057403326,15.8,0.0304683391,3.7,7.9,0.77,0.6793109179,0.3847067356,0.2542383969,,,,,,,,,,,0.5563,2.3365,2.86,85.9
Tigo,Colombia Movil S A E S P,Telecomunicaciones,SERVICIOS,32.0,44.3,40.7,66.7,92.6,55.3,Débil,2.9561576843,2.6959371567,9.7,0.3631399274,12.3,91.2,13.24,5.6678705215,0.3981510699,0.0495959409,,,,,,,,,,,0.532,2.2345,0.76,84.9
Tigo UNE,UNE EPM TELECOMUNICACIONES S.A.,Telecomunicaciones,SERVICIOS,38.2,37.3,49.4,63.8,78.2,53.4,Débil,2.6332006454,2.7929849625,-5.7,0.0149472402,0.6,3.7,11.4,4.9604849815,0.3998942375,0.3587320149,,,,,,,,,,,0.5726,2.405,0.91,85.7
WOM,PARTNERS TELECOM COLOMBIA SAS,Telecomunicaciones,SERVICIOS,37.4,11.5,4.0,31.6,59.2,28.7,Crítico,0.8705090284,0.8736749887,-0.4,-1.3426909447,-154.2,86.2,-3.81,4.3710150719,-1.5568840504,-0.2141930014,,,,,,,,,,,0.2964,1.2447,1.43,
McDonald's,|ARCOS DORADOS COLOMBIA SAS,Restaurantes QSR,SERVICIOS,75.1,55.2,65.3,78.1,90.9,72.9,Medio,0.7574146986,0.6755391359,12.1,0.00013782,0.0,0.1,3.49,0.5542196631,0.1234970391,0.00178112,,,,,,,,,,,0.2109,0.8858,1.17,87.8
Coca-Cola,Coca-Cola Bebidas de Colombia,Bebidas,COMERCIO,96.3,71.9,96.0,97.7,99.4,92.2,Medio,0.5373360515,0.6188868284,-13.2,0.0259150602,4.8,45.4,4.21,0.2969440222,0.0570403486,0.0527567305,,,,,,,,,,,0.1502,0.6307,1.17,91.7
Poker (beer),BAVARIA & CIA S.C.A,Cervezas,MANUFACTURA,39.5,21.7,47.8,65.9,84.1,51.8,Débil,8.6157741547,8.0129432678,7.5,2.3062546253,26.8,55.7,2.29,13.6144351959,4.1441893578,2.7165477276,,,,,,,,,,,1.7463,7.3345,0.85,63.9
Club Colombia,BAVARIA & CIA S.C.A,Cervezas,MANUFACTURA,77.0,80.7,67.9,78.6,89.4,78.7,Medio,8.6157741547,8.0129432678,7.5,2.3062546253,26.8,55.7,2.29,13.6144351959,4.1441893578,2.7165477276,,,,,,,,,,,2.9456,12.3714,1.44,74.9
Corona (beer),BAVARIA & CIA S.C.A,Cervezas,MANUFACTURA,90.4,71.4,81.7,82.4,83.0,81.8,Medio,8.6157741547,8.0129432678,7.5,2.3062546253,26.8,55.7,2.29,13.6144351959,4.1441893578,2.7165477276,,,,,,,,,,,3.3911,14.2426,1.65,77.5
Tennis (clothing),TENNIS S.A,Retail Moda,MANUFACTURA,74.7,58.0,39.4,51.0,62.5,57.1,Fuerza sin entrega,0.3128433526,0.2807689905,11.4,0.0111341802,3.6,6.3,1.56,0.4528031945,0.1766783446,0.1655441523,,,,,,,,,,,0.1519,0.638,2.04,78.3
Mercado Zapatoca,MERCADO ZAPATOCA S.A.,Supermercados,COMERCIO,46.8,31.7,39.0,27.2,15.5,32.0,Débil,0.8291547894,0.7260370851,14.2,0.0181070492,2.2,20.5,2.35,0.2956715226,0.0882528201,0.0727810636,,,,,,,,,,,0.4881,2.05,2.47,95.9
Nissan,"""""""DISTRIBUIDORA NISSAN S.A. _x000D_
""""_x000D_
""",Automóviles,COMERCIO,92.8,66.4,90.9,81.5,72.1,80.8,Medio,1.7037876844,1.4853339195,14.7,0.0393152609,2.3,6.9,1.22,1.2723827362,0.5718997121,0.5319612622,,,,,,,,,,,0.6991,2.9361,1.72,83.7
Grupo Aval,GRUPO AVAL ACCIONES Y VALORES S A,Bancos,COMERCIO,21.0,19.1,47.0,60.2,73.3,44.1,Débil,1.3767743111,1.1740900278,17.3,0.9998861551,,5.6,0.17,20.9402427673,17.9687042236,17.2419033051,"Holding - Ganancia incluye metodo de participacion en filiales, Margen Neto no es comparable; usar ROE como metrica principal",,,,,,,,,,0.2344,0.9846,0.72,5.2
Petrobras,PETROBRAS COLOMBIA COMBUSTIBLES S.A,Combustibles,COMERCIO,8.4,20.2,18.1,29.7,41.2,23.5,Crítico,1.2778656483,1.1169388294,14.4,0.0160197802,1.3,13.5,0.93,0.229367435,0.1187675223,0.1027477384,,,,,,,,,,,0.3513,1.4755,1.15,92.6
Suzuki,SUZUKI MOTOR DE COLOMBIA SA,Automóviles,MANUFACTURA,83.6,71.5,69.5,74.4,79.2,75.6,Medio,1.1852470636,1.0179537535,16.4,0.144157514,12.2,18.6,0.35,1.0418510437,0.7731123567,0.6302329302,,,,,,,,,,,0.4569,1.9188,1.62,71.3
Colpatria,MERCANTIL COLPATRIA SA,Bancos,SERVICIOS,4.1,24.0,44.2,55.5,66.8,38.9,Débil,0.7221480012,,,0.380528003,,5.4,0.08,7.6145238876,7.0333142281,,"Holding - Ganancia incluye metodo de participacion en filiales, Margen Neto no es comparable; usar ROE como metrica principal",,,,,,,,,,0.108,0.4534,0.63,6.1
American Airlines,AMERICAN AIRLINES INC. SUCURSAL COLOMBIANA,Aerolíneas,SERVICIOS,22.2,36.8,76.1,65.3,54.6,51.0,Débil,0.5277807713,1.1604942083,-54.5,0.0067601502,,,,0.1139731109,0.0087660104,0.0077792401,"Sucursal local - balance no representativo de la aerolinea global, excluir de comparativas de ROE/apalancamiento",,,,,,,,,,0.0986,0.4139,0.78,97.9
United Airlines,UNITED AIRLINES INC,Aerolíneas,SERVICIOS,41.1,36.9,58.1,41.9,25.6,40.7,Débil,0.3226599693,,,0.2694587111,,,,0.0239289906,1.74e-06,,"Sucursal local - balance no representativo de la aerolinea global, excluir de comparativas de ROE/apalancamiento",,,,,,,,,,0.1313,0.5515,1.71,100.0
